ID_RECEBIVEL;SEU_NUMERO;DOCUMENTO;IDENTIFICACAO_CEDENTE;IDENTIFICACAO_SACADO;TIPO_RECEBIVEL;ID_TIPO_MOVIMENTO;TIPO_MOVIMENTO;ST_RECEBIVEL;DATA_MOVIMENTO;DATA_AQUISICAO;DATA_VENCIMENTO;VL_AQUISICAO;VALOR_PAGO;VALOR_NOMINAL;JUROS;FUNDO_ID
910000000000000000009;QA-M-000009;800000009;83920000000480;83930000001009;NOTA_FISCAL;MOV_PARTIAL;MOV_PARTIAL;PARCIAL_QA;2026-08-07;2026-06-17;2026-09-08;228354,43;96048,13;240120,33;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000011;QA-M-000011;800000011;83920000000137;83930000000894;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-07;2026-06-19;2026-09-10;17744,35;18897,07;18897,07;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000013;QA-M-000013;800000013;83920000000307;83930000000622;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-07;2026-06-21;2026-09-12;29995,10;31673,81;31673,81;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000015;QA-M-000015;800000015;83920000000560;83930000000460;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-07;2026-06-23;2026-09-14;60962,51;65200,55;65200,55;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000017;QA-M-000017;800000017;83920000000218;83930000000207;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-07;2026-06-25;2026-09-16;117875,00;125000,00;125000,00;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000019;QA-M-000019;800000019;83920000000480;83930000001270;NOTA_FISCAL;MOV_PARTIAL;MOV_PARTIAL;PARCIAL_QA;2026-08-07;2026-06-27;2026-09-18;228265,43;96010,70;240026,74;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000021;QA-M-000021;800000021;83920000000137;83930000001009;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-07;2026-06-29;2026-09-20;17656,47;18803,48;18803,48;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000023;QA-M-000023;800000023;83920000000307;83930000000894;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-07;2026-07-01;2026-09-22;29906,47;31580,22;31580,22;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000025;QA-M-000025;800000025;83920000000560;83930000000622;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-07;2026-06-08;2026-09-24;60875,01;65106,96;65106,96;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000027;QA-M-000027;800000027;83920000000218;83930000000460;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-07;2026-06-10;2026-09-26;118001,08;125133,70;125133,70;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000029;QA-M-000029;800000029;83920000000480;83930000000207;NOTA_FISCAL;MOV_PARTIAL;MOV_PARTIAL;PARCIAL_QA;2026-08-07;2026-06-12;2026-09-28;228392,58;96064,18;240160,44;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000031;QA-M-000031;800000031;83920000000137;83930000001270;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-07;2026-06-14;2026-09-30;17782,01;18937,18;18937,18;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
